ID,sleep_hours,inbed_hours,sleep_efficiency,Steps,Distance_miles,Calories_burned,time_sedentary_mins,Day
p15,5.833333333333333,6.7,0.8706467661691543,655,0.430000007152557,1397,943,6
p15,8.666666666666666,9.016666666666667,0.9611829944547134,3727,2.4300000667572,1683,622,7
p15,5.95,6.833333333333333,0.8707317073170732,15482,10.1099996566772,2284,756,8
p15,10.966666666666667,11.3,0.9705014749262537,2713,1.76999998092651,1570,598,9
p15,6.65,7.183333333333334,0.925754060324826,12346,8.0600004196167,2066,801,10
p15,5.366666666666666,5.883333333333334,0.9121813031161473,11682,7.63000011444092,2105,781,11
p15,10.516666666666667,12.083333333333334,0.8703448275862069,4112,2.69000005722046,1776,443,12
p15,9.216666666666667,10.666666666666666,0.8640625,1807,1.17999994754791,1507,582,13
p15,7.216666666666667,7.8,0.9252136752136753,10946,7.19000005722046,2033,732,14
p15,6.866666666666666,7.55,0.9094922737306843,11886,7.76000022888184,2093,750,15
p15,5.783333333333333,6.516666666666667,0.887468030690537,10538,6.88000011444092,1922,745,16
p15,7.016666666666667,7.616666666666666,0.9212253829321663,11393,7.63000011444092,1999,727,17
p15,7.5,8.25,0.9090909090909091,12764,8.32999992370605,2169,709,18
p15,12.916666666666666,14.05,0.9193357058125742,1202,0.779999971389771,1463,506,19
p15,10.366666666666667,11.433333333333334,0.9067055393586005,5164,3.36999988555908,1747,436,20
p15,6.816666666666666,7.85,0.8683651804670913,9769,6.38000011444092,1996,724,21
p15,6.333333333333333,7.15,0.8857808857808858,12848,8.39000034332275,2116,812,22
p15,7.45,7.833333333333333,0.951063829787234,4249,2.76999998092651,1698,651,23
p15,6.983333333333333,7.733333333333333,0.9030172413793104,14331,9.51000022888184,2156,692,24
p15,6.666666666666667,7.233333333333333,0.9216589861751152,9632,6.28999996185303,1916,761,25
p15,7.366666666666666,7.833333333333333,0.9404255319148936,1868,1.22000002861023,1494,902,26
p15,9.466666666666667,10.133333333333333,0.9342105263157895,6083,4.0,1762,505,27
p15,7.55,8.233333333333333,0.917004048582996,11611,7.57999992370605,2272,667,28
p15,6.966666666666667,7.383333333333334,0.9435665914221218,16358,10.710000038147,2335,707,29
p15,7.716666666666667,8.1,0.9526748971193416,4926,3.22000002861023,1693,628,30
p15,7.3,7.916666666666667,0.9221052631578948,3121,2.03999996185303,741,222,31
p16,6.983333333333333,7.3,0.95662100456621,8135,6.07999992370605,3405,728,1
p16,7.2,7.633333333333334,0.9432314410480349,5077,3.78999996185303,2551,776,2
p16,7.95,8.283333333333333,0.959758551307847,8596,6.42000007629395,4022,662,3
p16,6.533333333333333,6.883333333333334,0.9491525423728814,12087,9.07999992370605,4005,695,4
p16,6.766666666666667,7.416666666666667,0.9123595505617977,14269,10.6599998474121,4274,472,5
p16,9.15,9.716666666666667,0.9416809605488851,12231,9.14000034332275,4552,525,6
